"","caseid","government_should_regulate_businesses_wave_1","racial_discrimination_hurts_black_people_wave_1","immigrants_strengthen_country_wave_1","corporations_make_too_much_profit_wave_1","homosexuality_should_be_accepted_wave_1","stricter_environmental_laws_damaging_wave_1","government_wasteful_inefficient_wave_1","poor_people_have_it_easy_wave_1","government_cannot_afford_to_help_needy_wave_1","best_way_peace_military_strength_wave_1","government_should_regulate_businesses_wave_5","racial_discrimination_hurts_black_people_wave_5","immigrants_strengthen_country_wave_5","corporations_make_too_much_profit_wave_5","homosexuality_should_be_accepted_wave_5","stricter_environmental_laws_damaging_wave_5","government_wasteful_inefficient_wave_5","poor_people_have_it_easy_wave_5","government_cannot_afford_to_help_needy_wave_5","best_way_peace_military_strength_wave_5","treat","bot_followers","substantive_question_correct_wave_2","substantive_question_correct_wave_3","substantive_question_correct_wave_4","animal_correct_wave_2","animal_correct_wave_3","animal_correct_wave_4","party_id_wave_1","party_id_weak_strong_wave_1","political_wave_1","freq_twitter_wave_1","bin_maker","percent_co_party","ideo_homogeneity_offline","friends_count_wave_1","gender","education","family_income","birth_year","northeast","north_central","south","west","endtime_wave_5","how_often_visit_twitter_wave_1","how_often_visit_twitter_wave_5","ideology_seven_point_wave_1","ideology_seven_point_wave_5"
"692",692,7,3,5,5,6,6,4,4,5,3,5,3,4,6,1,6,6,7,6,5,1,0,1,1,1,1,1,1,2,7,"Low News Interest","Not High Twitter Use","Strong Republican, Low News Interest, Not High Twitter Use",0,50,837,1,5,8,NA,0,0,0,1,2017-11-18 14:41:09.726168,2,2,4,4
"693",693,6,5,5,5,5,5,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,2,7,"Low News Interest","Not High Twitter Use","Strong Republican, Low News Interest, Not High Twitter Use",0,60,837,1,6,9,1984.5,0,0,0,1,NA,2,NA,1,NA
"694",694,4,4,4,5,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,2,7,"Low News Interest","Not High Twitter Use","Strong Republican, Low News Interest, Not High Twitter Use",NA,50,2511,2,1,NA,1974,0,0,1,0,2017-11-18 17:48:49.677996,2,1,4,4
"695",695,3,3,4,1,4,3,4,4,3,4,5,3,4,1,4,3,4,4,2,4,1,0,0,0,0,0,0,0,2,7,"Low News Interest","Not High Twitter Use","Strong Republican, Low News Interest, Not High Twitter Use",NA,70,837,2,3,NA,1974,0,0,0,1,2017-11-20 19:01:36.200575,2,2,6,6
"696",696,5,5,6,3,7,3,3,2,5,2,2,2,3,3,3,5,6,3,6,3,1,1,0,0,0,0,0,0,2,7,"Low News Interest","Not High Twitter Use","Strong Republican, Low News Interest, Not High Twitter Use",0,70,837,2,2,NA,1964,1,0,0,0,2017-11-18 19:54:22.781097,2,1,3,6
"697",697,1,2,2,2,1,7,6,6,6,7,1,1,4,1,3,7,7,7,7,7,1,1,1,1,0,1,1,1,2,7,"Low News Interest","Not High Twitter Use","Strong Republican, Low News Interest, Not High Twitter Use",NA,75,837,1,5,8,1954,0,0,0,1,2017-11-18 11:52:55.151867,2,2,7,7
"698",698,5,1,1,7,1,3,5,2,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,2,7,"Low News Interest","Not High Twitter Use","Strong Republican, Low News Interest, Not High Twitter Use",0.663763066202091,85,837,2,3,5,NA,0,0,1,0,NA,2,NA,6,NA
"699",699,5,1,1,4,1,4,6,4,2,6,4,1,1,NA,1,4,5,1,1,4,0,0,0,0,0,0,0,0,2,7,"Low News Interest","Not High Twitter Use","Strong Republican, Low News Interest, Not High Twitter Use",0,50,837,2,3,NA,1974,1,0,0,0,2017-11-20 12:48:16.230457,2,1,4,4
"700",700,4,4,4,4,4,4,4,4,5,4,4,5,5,7,6,6,5,4,5,6,0,0,0,0,0,0,0,0,2,7,"Low News Interest","Not High Twitter Use","Strong Republican, Low News Interest, Not High Twitter Use",NA,50,837,2,3,1,1984.5,0,0,1,0,2017-11-18 14:39:20.985994,2,2,7,7
"701",701,4,1,2,1,1,7,1,7,4,7,2,2,2,2,1,1,1,7,5,4,1,1,0,0,0,0,1,0,2,7,"Low News Interest","Not High Twitter Use","Strong Republican, Low News Interest, Not High Twitter Use",0.333333333333333,75,837,2,2,2,1984.5,NA,NA,0,0,2017-11-20 09:06:17.152262,3,6,7,6
"702",702,4,7,5,5,3,2,5,6,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,2,7,"Low News Interest","Not High Twitter Use","Strong Republican, Low News Interest, Not High Twitter Use",0.166180758017493,50,837,1,5,9,NA,0,0,1,0,NA,3,NA,6,NA
"703",703,4,1,4,4,7,4,3,5,2,3,4,1,5,5,6,5,5,7,3,5,1,0,NA,NA,NA,NA,NA,NA,2,7,"Low News Interest","Not High Twitter Use","Strong Republican, Low News Interest, Not High Twitter Use",0,90,837,2,3,NA,1995,0,1,0,0,2017-11-20 12:15:28.945433,2,2,6,6
"704",704,1,1,1,7,1,7,7,7,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,NA,2,7,"Low News Interest","Not High Twitter Use","Strong Republican, Low News Interest, Not High Twitter Use",0,100,837,2,2,6,NA,0,0,1,0,NA,2,NA,7,NA
"705",705,6,1,1,6,6,2,5,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,2,7,"Low News Interest","Not High Twitter Use","Strong Republican, Low News Interest, Not High Twitter Use",NA,95,837,2,3,5,1984.5,0,0,1,0,NA,2,NA,4,NA
"706",706,4,4,4,4,4,4,4,4,NA,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,2,7,"Low News Interest","Not High Twitter Use","Strong Republican, Low News Interest, Not High Twitter Use",0,50,837,2,2,5,NA,0,0,0,1,2017-11-18 17:35:10.589083,2,2,1,1
"707",707,1,1,4,2,1,7,7,6,4,7,4,1,4,1,1,7,7,6,4,7,0,0,0,0,0,0,0,0,2,7,"Low News Interest","Not High Twitter Use","Strong Republican, Low News Interest, Not High Twitter Use",NA,50,837,1,3,NA,1974,0,1,0,0,2017-11-18 18:10:28.334848,2,2,6,6
"708",708,3,2,3,1,3,4,5,5,6,5,3,2,3,3,2,4,4,NA,4,4,1,1,1,1,1,1,1,0,2,7,"Low News Interest","Not High Twitter Use","Strong Republican, Low News Interest, Not High Twitter Use",0,75,837,2,3,9,NA,0,0,1,0,2017-11-20 20:56:00.825397,3,3,6,6
"709",709,7,6,7,7,7,1,7,1,1,2,6,7,7,7,7,1,7,1,1,1,1,1,1,1,1,0,1,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,80,NA,2,5,3,1984.5,0,0,1,0,2017-11-20 10:03:26.739286,1,1,1,1
"710",710,5,1,1,7,7,6,6,1,5,4,1,1,1,7,7,6,5,1,1,4,1,1,1,1,1,1,1,1,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,90,837,2,4,NA,1974,0,1,0,0,2017-11-20 17:57:11.945963,1,1,4,4
"711",711,6,2,6,6,6,2,3,2,3,5,7,2,6,6,6,2,5,1,5,4,0,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",1,95,837,1,4,NA,1954,0,0,0,1,2017-11-18 13:07:03.686827,1,5,1,1
"712",712,6,3,5,3,6,5,5,3,3,6,6,5,4,4,6,4,5,3,3,5,1,0,1,1,1,1,1,1,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",0.598849493376105,20,837,1,6,8,NA,0,0,0,1,2017-11-18 15:44:18.016657,1,1,3,2
"713",713,7,6,5,5,7,2,3,1,3,6,6,5,6,5,7,2,5,1,2,6,0,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",0.966548863231934,30,837,NA,6,12,1964,0,0,1,0,2017-11-18 20:28:34.94825,1,2,3,3
"714",714,6,5,6,4,7,1,2,1,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,NA,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,65,NA,1,6,11,1974,0,1,0,0,NA,1,NA,2,NA
"715",715,5,5,7,7,4,1,4,1,1,2,6,6,7,5,4,1,4,1,1,2,0,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,90,2511,2,6,1,1964,0,0,1,0,2017-11-18 18:13:18.821753,1,2,3,3
"716",716,6,5,6,5,7,1,2,3,2,2,6,5,6,7,7,2,3,2,2,1,1,1,1,1,1,1,1,1,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",0,75,837,1,5,9,NA,1,0,0,0,2017-11-18 18:32:17.918888,1,3,2,2
"717",717,5,5,7,6,7,2,3,2,2,3,5,5,7,5,7,3,4,2,2,5,1,1,1,1,1,1,1,1,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",0.950121422073481,70,837,2,6,1,NA,0,0,1,0,2017-11-18 11:20:06.547958,1,1,3,3
"718",718,6,2,4,NA,5,2,7,3,1,1,5,2,3,5,4,1,6,2,1,1,1,NA,0,NA,0,0,NA,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",0,49,837,1,5,9,1974,1,0,0,0,2017-11-18 19:49:24.934334,1,1,1,1
"719",719,5,3,5,7,2,5,5,5,5,4,6,3,6,7,1,5,6,6,6,3,0,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,40,837,1,5,5,1984.5,0,0,1,0,2017-11-18 15:58:37.871895,1,2,4,4
"720",720,7,7,7,7,7,1,4,2,1,1,7,6,7,7,7,2,3,2,2,1,0,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",0.814935392348604,90,NA,2,5,10,1954,0,0,0,1,2017-11-18 11:38:55.249254,1,1,3,2
"721",721,7,4,7,5,5,3,5,3,3,6,7,4,7,4,5,2,5,2,2,7,1,1,1,0,0,1,1,1,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",0.913534941712817,65,837,1,3,NA,1943.5,0,1,0,0,2017-11-20 12:22:14.403784,1,1,2,3
"722",722,3,6,7,5,4,5,4,7,6,6,4,6,6,5,4,3,4,5,3,7,1,1,1,0,NA,1,1,NA,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",1,67,837,1,5,7,NA,0,1,0,0,2017-11-23 06:32:48.266977,1,1,3,3
"723",723,6,5,6,4,7,3,5,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",0.953370110684001,80,837,1,5,7,1943.5,0,0,1,0,NA,1,NA,3,NA
"724",724,5,5,5,5,6,2,3,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",1,70,837,1,4,NA,1954,0,0,0,1,NA,1,NA,2,NA
"725",725,6,5,6,5,7,2,5,3,4,2,6,5,5,4,7,2,5,2,3,2,0,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,55,837,2,3,NA,1954,0,0,1,0,2017-11-18 19:21:37.968781,1,1,4,3
"726",726,5,7,7,7,7,1,3,1,1,3,6,5,7,4,7,2,2,2,1,5,1,1,1,1,1,1,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",1,60,837,2,6,NA,1984.5,0,0,1,0,2017-11-18 17:09:55.335196,1,1,3,3
"727",727,4,4,7,7,7,4,5,1,1,5,2,2,7,7,7,4,4,5,1,4,1,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",1,50,837,2,3,3,NA,0,0,1,0,2017-11-18 11:21:55.576384,1,1,3,3
"728",728,7,4,4,4,4,4,7,1,4,4,7,4,1,4,7,4,4,1,1,4,0,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,50,837,2,2,5,1964,0,0,1,0,2017-11-18 21:19:17.340515,1,1,4,4
"729",729,5,6,7,6,7,1,5,1,1,2,6,6,7,7,7,1,3,1,1,1,0,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,85,837,2,5,16,1954,0,0,0,1,2017-11-18 12:39:11.050196,1,1,1,2
"730",730,6,5,6,6,7,2,2,1,1,3,7,6,6,7,6,2,1,1,1,3,0,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,40,837,1,4,11,1964,0,1,0,0,2017-11-18 14:01:40.19923,1,1,2,2
"731",731,7,5,6,7,7,1,6,3,3,5,7,5,7,7,7,1,5,1,3,5,1,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,50,837,1,5,9,1954,1,0,0,0,2017-11-18 11:29:54.526428,1,1,4,4
"732",732,6,5,7,4,7,1,1,2,2,3,7,5,7,4,7,1,2,2,3,3,0,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,55,837,1,6,13,1954,0,0,1,0,2017-11-22 20:44:22.320551,1,1,3,3
"733",733,6,6,7,6,6,2,2,1,1,2,7,6,7,7,7,1,2,1,1,4,1,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,50,837,1,6,NA,1954,0,0,0,1,2017-11-18 13:21:17.978455,1,1,4,4
"734",734,4,6,5,6,6,2,5,3,4,2,6,6,6,5,6,3,3,4,2,4,1,1,1,1,0,1,1,1,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",1,90,837,2,6,NA,1943.5,0,1,0,0,2017-11-18 11:27:28.898438,1,1,2,2
"735",735,6,5,7,3,7,2,2,2,1,3,7,5,6,6,7,2,3,3,1,5,1,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",1,80,837,1,5,12,1954,0,0,1,0,2017-11-18 11:25:07.660526,1,1,3,4
"736",736,5,3,5,4,7,1,7,5,3,2,5,2,5,5,7,1,7,6,2,2,1,1,1,1,1,1,1,1,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,50,837,1,4,NA,1964,0,1,0,0,2017-11-20 06:49:17.484035,1,1,3,4
"737",737,7,6,7,6,7,1,2,3,3,3,6,5,7,5,7,2,4,2,3,4,1,1,1,1,1,1,1,1,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,50,837,1,3,4,1954,0,0,1,0,2017-11-18 14:39:39.078527,1,1,3,4
"738",738,2,4,6,4,6,1,7,2,1,1,2,3,5,5,4,1,7,2,1,3,1,1,1,1,1,1,1,1,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,30,837,2,3,6,1954,0,0,1,0,2017-11-18 13:01:41.399792,1,3,4,4
"739",739,6,5,6,7,6,2,3,3,2,3,6,5,7,7,7,1,3,3,1,5,1,1,1,1,0,1,1,1,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",1,90,837,1,3,NA,1974,0,0,1,0,2017-11-20 07:02:44.091196,1,2,4,4
"740",740,6,6,7,6,7,3,6,1,3,1,6,5,7,6,7,2,5,1,1,1,1,1,1,1,1,0,1,1,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",1,40,837,NA,3,10,1974,0,0,1,0,2017-11-18 13:04:27.682072,1,1,3,3
"741",741,5,3,6,6,7,1,5,2,1,3,3,5,7,7,7,2,5,5,2,5,1,1,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",0.983028873776381,75,837,2,5,12,NA,0,0,0,1,2017-11-21 09:43:27.51882,1,1,3,3
"742",742,5,3,7,3,7,1,3,1,2,2,5,4,7,5,7,2,3,3,3,2,1,1,1,1,1,1,1,1,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",0.957470660150156,80,837,2,NA,4,1954,0,0,0,1,2017-11-18 15:31:05.535685,1,1,2,2
"743",743,7,7,5,7,6,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,70,837,1,5,9,1984.5,0,0,1,0,NA,1,NA,2,NA
"744",744,7,1,2,6,7,2,6,6,6,5,6,2,2,4,7,5,5,7,5,2,0,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,60,837,1,3,NA,1974,0,1,0,0,2017-11-18 22:00:54.931158,1,1,2,2
"745",745,7,7,7,7,7,1,3,1,1,2,7,7,6,7,7,1,3,1,1,5,1,1,1,1,1,1,1,1,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,25,837,1,NA,4,1984.5,1,0,0,0,2017-11-18 13:11:20.045786,1,1,1,1
"746",746,1,4,5,7,7,1,4,3,1,4,4,4,7,7,7,1,3,1,1,4,0,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,75,NA,1,5,5,1964,0,0,1,0,2017-11-18 11:27:40.900566,1,2,1,1
"747",747,1,1,1,6,7,1,5,1,1,2,5,1,1,7,7,1,7,1,1,2,1,1,1,1,1,1,1,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,70,837,2,6,6,1974,0,0,1,0,2017-11-18 23:08:58.771606,1,1,2,2
"748",748,7,6,7,7,7,1,3,2,2,2,6,6,6,5,7,2,3,1,3,1,1,1,1,1,1,1,0,1,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",0.953370110684001,75,2511,2,5,NA,1954,0,1,0,0,2017-11-18 15:20:50.304752,1,1,2,2
"749",749,7,6,6,5,7,1,2,1,1,4,7,6,6,6,7,1,2,1,1,4,1,1,1,0,0,1,1,1,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",0.9653323333996,30,837,1,5,NA,1974,0,0,1,0,2017-11-18 15:08:02.281256,1,1,3,3
"750",750,4,6,6,5,7,1,5,1,1,2,5,6,7,6,7,1,6,1,1,2,1,1,1,1,1,1,0,1,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,50,837,1,5,9,1974,0,0,1,0,2017-11-18 15:43:30.553846,1,3,2,2
"751",751,6,5,6,4,7,3,2,3,2,5,6,5,6,3,7,3,2,2,5,2,0,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,50,837,1,6,5,1984.5,0,1,0,0,2017-11-18 12:34:49.435282,1,1,3,2
"752",752,7,7,7,7,7,1,5,1,1,1,6,6,7,7,7,1,7,1,1,4,0,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,50,837,2,5,NA,1954,0,1,0,0,2017-11-18 11:23:50.652098,1,2,2,3
"753",753,5,2,5,2,6,5,5,5,3,5,5,3,6,3,6,5,6,5,5,4,0,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,15,837,1,5,12,1954,0,1,0,0,2017-11-19 10:19:58.756748,1,1,6,6
"754",754,6,6,6,7,4,5,7,2,1,5,6,7,6,7,5,1,7,1,2,5,1,NA,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",0.956245686680469,100,837,1,3,4,1954,0,0,1,0,2017-11-19 18:21:25.842903,1,2,2,2
"755",755,7,3,6,6,7,1,3,2,3,3,2,5,7,7,7,1,2,1,1,4,1,1,1,1,1,0,0,1,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,70,837,1,5,5,1984.5,0,0,1,0,2017-11-18 12:26:42.801107,1,2,2,1
"756",756,7,7,7,7,7,1,5,1,1,2,7,7,7,7,7,1,2,1,1,1,1,1,1,1,0,1,1,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,75,837,2,6,NA,1974,0,1,0,0,2017-11-18 22:25:45.344049,1,1,1,1
"757",757,5,6,7,5,6,1,5,1,2,2,6,7,6,6,4,2,5,1,3,3,0,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,85,837,2,3,3,1954,0,1,0,0,2017-11-18 16:35:15.403755,1,1,3,2
"758",758,6,3,5,4,7,4,5,1,3,4,7,3,6,4,6,4,6,1,3,5,1,1,1,1,1,1,1,1,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,55,837,1,5,7,1954,0,0,0,1,2017-11-19 14:45:46.426622,1,1,3,3
"759",759,4,2,6,5,1,3,5,1,1,4,4,3,6,5,1,2,2,1,2,2,1,0,1,0,1,1,1,1,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,80,837,2,NA,4,1954,0,1,1,0,2017-11-18 11:57:31.439035,1,1,4,4
"760",760,7,6,7,7,7,1,6,1,1,2,7,5,7,7,7,1,4,1,1,3,1,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,40,837,2,5,3,1964,0,0,1,0,2017-11-18 12:45:29.485935,1,1,1,1
"761",761,7,6,5,4,6,2,2,2,3,6,7,5,5,5,5,2,3,3,4,5,1,1,1,1,1,0,1,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,80,2511,1,6,9,1984.5,0,0,1,0,2017-11-18 12:29:41.311295,1,1,3,3
"762",762,7,1,7,7,7,2,5,1,1,7,7,1,5,7,7,1,7,1,1,7,0,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",0.821078492627941,0,837,1,NA,5,1964,0,1,0,0,2017-11-18 12:10:07.004128,1,4,4,4
"763",763,3,2,6,7,5,2,7,3,5,5,5,2,5,7,4,3,7,5,2,6,1,1,1,1,1,1,1,1,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",0.602296832711579,100,837,1,NA,3,1954,1,0,0,0,2017-11-18 11:40:35.736101,1,1,3,4
"764",764,5,7,1,7,3,1,1,1,1,6,7,7,1,7,4,1,7,1,1,1,1,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,80,NA,1,1,NA,1984.5,0,0,1,0,2017-11-19 06:02:51.421583,1,1,4,1
"765",765,7,5,7,3,7,1,2,1,1,3,7,5,7,5,7,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,60,837,1,6,11,1954,0,0,1,0,2017-11-18 13:07:54.129927,1,1,2,2
"766",766,7,4,6,1,7,2,3,1,6,6,6,3,6,2,6,2,5,1,3,5,0,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",0.956245686680469,75,837,1,6,NA,1954,0,0,0,1,2017-11-18 11:42:00.089239,1,1,4,4
"767",767,4,3,7,6,7,3,6,1,1,4,5,4,7,7,7,2,6,1,1,3,0,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",0,25,837,2,NA,5,1964,0,0,1,0,2017-11-18 12:08:44.237745,1,1,1,1
"768",768,7,7,5,7,7,1,1,1,1,1,7,7,7,7,7,1,1,1,1,1,1,1,0,0,0,1,0,1,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",0.980171387374777,90,2511,1,6,NA,1984.5,0,0,1,0,2017-11-22 10:51:29.910358,1,1,1,1
"769",769,7,7,6,7,6,1,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",0.91784123462865,40,2511,1,5,8,NA,0,1,0,0,NA,1,NA,3,NA
"770",770,7,5,2,2,4,3,3,3,4,5,6,4,1,3,5,3,3,3,5,5,0,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,75,837,1,6,5,1943.5,0,0,0,1,2017-11-18 13:54:03.905094,1,1,5,5
"771",771,7,7,7,6,7,2,2,1,1,1,7,6,6,7,7,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",1,65,837,1,3,11,1964,0,1,0,0,2017-11-18 13:54:58.135954,1,1,2,2
"772",772,6,5,7,7,7,2,5,1,2,3,7,4,6,4,7,1,3,1,2,4,1,1,1,1,0,1,1,1,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,10,837,1,6,NA,1964,0,0,0,1,2017-11-18 13:26:06.742359,1,1,4,4
"773",773,2,2,6,6,2,2,7,5,2,2,1,4,6,7,2,1,6,4,1,4,0,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",1,60,837,1,1,2,NA,0,0,1,0,2017-11-18 16:58:20.098,1,1,4,4
"774",774,2,7,7,4,7,1,2,1,1,4,5,7,7,4,7,2,4,1,1,5,1,NA,1,1,1,1,0,1,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",0.88447711020462,90,837,1,5,4,1974,0,0,0,1,2017-11-20 11:01:41.672899,1,1,3,4
"775",775,5,4,4,6,7,3,5,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,50,837,2,3,NA,1984.5,0,1,0,0,NA,1,NA,2,NA
"776",776,7,6,7,4,1,3,7,1,1,5,7,5,7,4,1,1,2,5,1,5,1,1,0,NA,NA,0,NA,NA,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",0.85906713072826,30,837,1,6,8,NA,0,0,1,0,2017-11-21 17:08:08.770424,1,1,5,5
"777",777,6,5,6,5,7,2,6,2,2,5,6,3,6,5,7,1,5,2,3,5,1,1,1,1,0,0,0,1,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",0.923698089586554,60,837,2,5,NA,1974,0,0,1,0,2017-11-18 15:30:19.406221,1,1,3,3
"778",778,6,7,7,7,7,1,5,1,1,1,7,7,7,7,7,2,4,1,1,2,0,0,0,0,0,0,0,0,1,2,"High News Interest","High Twitter Use","Weak Democrat, High News Interest, High Twitter Use",NA,51,837,2,3,9,1995,0,1,0,0,2017-11-18 18:49:09.369371,1,1,1,1
